Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5
Week 2,INTZ,FURIA,0 - 1,2,12.11,Olaf,Senna,Ahri,Zeri,Kayle,Lucian,Ezreal,"Gwen, Viego","Lee Sin, Gnar",Kalista,Taliyah,Rakan,Akali,Sylas,Twisted Fate,"Swain, Renata Glasc",Rell,Bot,Jungle,Top,Mid,Support,Top,Jungle,Bot,Mid,Support
Week 2,LOUD,KaBuM! e-Sports,0 - 1,2,12.11,Zeri,Lucian,Senna,Gwen,Viktor,Viego,Ahri,"Ezreal, Wukong","Jinx, Tahm Kench",Yuumi,Lee Sin,Gangplank,Graves,LeBlanc,Taliyah,"Lulu, Xin Zhao",Gnar,Mid,Bot,Top,Support,Jungle,Bot,Jungle,Support,Mid,Top
Week 1,Rensga Esports,RED Canids,0 - 1,2,12.10,Ezreal,Lucian,Kalista,Yone,Senna,Gwen,Taliyah,"Wukong, Ahri","Renata Glasc, Lissandra",Karma,Jayce,Ornn,Camille,Jhin,Kog'Maw,"Varus, Gangplank",Swain,Jungle,Support,Mid,Bot,Top,Jungle,Mid,Support,Bot,Top
Week 1,LOUD,paiN Gaming,0 - 1,2,12.10,Gangplank,Lucian,Swain,Senna,Jayce,Viego,Gwen,"Kalista, Wukong","Ezreal, Renata Glasc",Ahri,Lissandra,Akali,LeBlanc,Rumble,Nautilus,"Lee Sin, Sylas",Kayle,Top,Bot,Support,Jungle,Mid,Bot,Jungle,Mid,Support,Top
Week 1,Miners,INTZ,1 - 0,1,12.10,Senna,Gwen,Renata Glasc,Lucian,Taliyah,Wukong,Viego,"Xayah, Rakan","Twitch, Lulu",Ahri,Lissandra,Gangplank,Vex,Jarvan IV,Vi,"Galio, Camille",Jax,Jungle,Bot,Support,Mid,Top,Bot,Support,Mid,Jungle,Top
Week 1,KaBuM! e-Sports,Flamengo Los Grandes,1 - 0,1,12.10,Ahri,Gwen,Kalista,Wukong,Taliyah,Lucian,Senna,"Ezreal, Karma","Viego, Nautilus",Hecarim,Kennen,Aatrox,Jayce,Zoe,Gnar,"Gangplank, Sylas",Orianna,Bot,Jungle,Support,Top,Mid,Bot,Support,Jungle,Top,Mid
Week 1,FURIA,Liberty,1 - 0,1,12.10,Senna,Gwen,Viego,Lucian,Taliyah,Wukong,Olaf,"Fiora, Ahri","Lee Sin, Zoe",Nocturne,Xayah,Kalista,Kai'Sa,Ezreal,Tahm Kench,"Kog'Maw, Lulu",Varus,Top,Jungle,Mid,Bot,Support,Top,Mid,Jungle,Support,Bot
Week 1,Flamengo Los Grandes,LOUD,0 - 1,2,12.10,Galio,Lucian,Viego,LeBlanc,Lissandra,Gwen,Wukong,"Ahri, Lee Sin","Xayah, Vex",Renata Glasc,Karma,Gnar,Yuumi,Gangplank,Ezreal,"Ornn, Sett",Olaf,Jungle,Bot,Mid,Top,Support,Mid,Jungle,Support,Bot,Top
Week 1,FURIA,KaBuM! e-Sports,1 - 0,1,12.10,Gnar,Gwen,Senna,Wukong,Taliyah,Lucian,Olaf,"Lee Sin, Kai'Sa","Xayah, Viego",Nautilus,Renata Glasc,Rumble,Leona,Akali,Trundle,"Braum, Ahri",Lissandra,Top,Bot,Jungle,Support,Mid,Jungle,Bot,Support,Top,Mid
Week 1,Liberty,Miners,1 - 0,1,12.10,Vex,Gwen,Renata Glasc,Lulu,Taliyah,Ezreal,Lucian,"Tristana, Viego","Wukong, Nami",Alistar,Sylas,Olaf,Gnar,Vladimir,Sejuani,"Ahri, Aatrox",Lissandra,Bot,Jungle,Support,Mid,Top,Bot,Jungle,Support,Top,Mid
Week 1,INTZ,Rensga Esports,1 - 0,1,12.10,Yone,Lucian,Renata Glasc,Gwen,Ahri,Senna,Taliyah,"Kai'Sa, Nautilus","Viego, Xayah",Camille,Jax,Galio,Renekton,Lillia,Xerath,"Gnar, Rakan",Nocturne,Mid,Jungle,Bot,Top,Support,Bot,Support,Top,Mid,Jungle
Week 1,paiN Gaming,RED Canids,0 - 1,2,12.10,Renata Glasc,Gwen,Senna,Wukong,Lucian,Viego,Kalista,"Taliyah, Tristana","Gangplank, Nautilus",Alistar,Sylas,Swain,Lillia,Ahri,Aatrox,"Nocturne, Galio",Trundle,Bot,Top,Support,Jungle,Mid,Mid,Bot,Support,Top,Jungle
