Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5
Week 7,Rensga Esports,Miners,0 - 1,2,12.13,Pyke,Seraphine,Sylas,Yuumi,Wukong,Lucian,Taliyah,"Gnar, Jinx","Trundle, Aphelios",Azir,Sejuani,Xin Zhao,Renata Glasc,Lee Sin,Viego,"Ornn, Lulu",Nautilus,Mid,Jungle,Bot,Top,Support,Top,Bot,Mid,Jungle,Support
Week 7,paiN Gaming,KaBuM! e-Sports,0 - 1,2,12.13,Zeri,Azir,Renata Glasc,Nautilus,Kalista,Seraphine,Gnar,"Aphelios, Sylas","Poppy, Taliyah",Trundle,Jinx,Gangplank,Draven,Lulu,Rumble,"Yuumi, Ezreal",Amumu,Top,Jungle,Mid,Support,Bot,Bot,Mid,Jungle,Top,Support
Week 7,RED Canids,FURIA,0 - 1,2,12.13,Gwen,Yuumi,Zeri,Taliyah,Gnar,Seraphine,Poppy,"Renata Glasc, Viego","Jinx, Lulu",Draven,Fiora,Yone,Swain,Olaf,Vex,"Lissandra, Aatrox",Renekton,Jungle,Bot,Support,Mid,Top,Support,Jungle,Bot,Mid,Top
Week 6,Flamengo Los Grandes,Liberty,0 - 1,2,12.12b,Lucian,Seraphine,Gangplank,Renata Glasc,Yuumi,Corki,Gnar,"Senna, Tahm Kench","Taliyah, Rell",Swain,Sylas,Wukong,Poppy,Gwen,Viego,"Jinx, Rumble",Camille,Top,Mid,Support,Bot,Jungle,Bot,Support,Mid,Jungle,Top
Week 6,KaBuM! e-Sports,LOUD,0 - 1,2,12.12b,Corki,Kalista,Ahri,Gnar,Seraphine,Senna,Wukong,"Yuumi, Viego","Jinx, Lulu",Lissandra,Sylas,Aatrox,Azir,Zeri,Olaf,"Taliyah, Gwen",Ezreal,Jungle,Bot,Support,Mid,Top,Support,Jungle,Mid,Top,Bot
Week 6,FURIA,INTZ,1 - 0,1,12.12b,Gangplank,Gwen,Kalista,Yone,Sylas,Ahri,Zeri,"Wukong, Corki","Viego, Olaf",Gnar,Yuumi,Jinx,Lulu,Twitch,Seraphine,"Lissandra, Pyke",Tahm Kench,Bot,Jungle,Top,Mid,Support,Jungle,Mid,Top,Bot,Support
Week 6,Miners,RED Canids,1 - 0,1,12.12b,Lucian,Seraphine,Yuumi,Gnar,Renata Glasc,Zeri,Wukong,"Corki, Aphelios","Jinx, Sylas",Tahm Kench,Rakan,Trundle,Nautilus,Volibear,Udyr,"Rell, Shyvana",Gangplank,Jungle,Bot,Mid,Support,Top,Mid,Bot,Support,Jungle,Top
Week 6,Rensga Esports,paiN Gaming,0 - 1,2,12.12b,Ahri,Seraphine,Kalista,Corki,Senna,Zeri,Wukong,"Aphelios, Renata Glasc","Jinx, Lulu",Taliyah,Swain,Kayle,Lissandra,Gangplank,Gnar,"Orianna, Gragas",Trundle,Jungle,Bot,Support,Mid,Top,Bot,Support,Mid,Top,Jungle
Week 6,INTZ,Miners,0 - 1,2,12.12b,Gnar,Yuumi,Wukong,Corki,Seraphine,Sylas,Aphelios,"Azir, Jinx","Renata Glasc, Gwen",Lulu,Ahri,Gangplank,Jarvan IV,Kayle,Jayce,"Xin Zhao, Taliyah",Volibear,Bot,Support,Top,Jungle,Mid,Mid,Bot,Support,Top,Jungle
Week 6,Liberty,FURIA,0 - 1,2,12.12b,Olaf,Senna,Lucian,Seraphine,Kalista,Zeri,Wukong,"Renata Glasc, Aphelios","Jinx, Lulu",Viego,Gnar,Swain,Sylas,Kayle,Lissandra,"Ahri, Gangplank",Gwen,Jungle,Bot,Support,Mid,Top,Support,Bot,Jungle,Mid,Top
Week 6,Flamengo Los Grandes,KaBuM! e-Sports,0 - 1,2,12.12b,Senna,Seraphine,Ahri,Corki,Gangplank,Wukong,Renata Glasc,"Gnar, Kalista","Aphelios, Kayle",Amumu,Trundle,Azir,Sylas,Viego,Taliyah,"Volibear, Lissandra",Jarvan IV,Support,Bot,Top,Jungle,Mid,Top,Bot,Support,Mid,Jungle
Week 6,paiN Gaming,LOUD,1 - 0,1,12.12b,Yuumi,Seraphine,Zeri,Kalista,Ahri,Nautilus,Corki,"Wukong, Taliyah","Aphelios, Tahm Kench",Rakan,Volibear,Kai'Sa,Trundle,Xayah,Ezreal,"Poppy, Gnar",Tristana,Mid,Bot,Support,Jungle,Top,Jungle,Mid,Support,Bot,Top
Week 6,RED Canids,Rensga Esports,1 - 0,1,12.12b,Jinx,Kalista,Nautilus,Wukong,Corki,Lucian,Yuumi,"Gwen, Amumu","Zeri, Gnar",Trundle,Kindred,Seraphine,Poppy,Aphelios,Tristana,"Viego, Ahri",Lissandra,Support,Bot,Top,Jungle,Mid,Top,Support,Jungle,Bot,Mid
Week 5,RED Canids,paiN Gaming,0 - 1,2,12.12b,Senna,Yuumi,Kalista,Corki,Ahri,Seraphine,Zeri,"Wukong, Twitch","Viego, Lulu",Nautilus,Sylas,Kayle,Gnar,Gwen,Swain,"Sejuani, Lissandra",Gangplank,Bot,Jungle,Support,Top,Mid,Jungle,Bot,Support,Mid,Top
Week 5,Rensga Esports,INTZ,0 - 1,2,12.12b,Kalista,Seraphine,Senna,Yuumi,Xayah,Lucian,Wukong,"Volibear, Gwen","Ahri, Aphelios",Sylas,Gragas,Ashe,Gnar,Kog'Maw,Ezreal,"Renata Glasc, Tryndamere",Karma,Jungle,Mid,Bot,Support,Top,Jungle,Top,Mid,Bot,Support
Week 5,KaBuM! e-Sports,FURIA,0 - 1,2,12.12b,Sylas,Gnar,Gwen,Yuumi,Seraphine,Senna,Kalista,"Renata Glasc, Aphelios","Ahri, Viego",Lissandra,Rumble,Olaf,Jayce,Yone,Volibear,"Gangplank, Nautilus",Kayle,Bot,Mid,Jungle,Top,Support,Support,Bot,Mid,Jungle,Top
Week 5,Miners,Liberty,1 - 0,1,12.12b,Gangplank,Seraphine,Ahri,Kalista,Renata Glasc,Corki,Gnar,"Wukong, Lucian","Draven, Pyke",Braum,Lee Sin,Kayle,Viego,Galio,Gwen,"Volibear, Azir",Zilean,Top,Bot,Support,Jungle,Mid,Jungle,Bot,Support,Top,Mid
Week 5,LOUD,Flamengo Los Grandes,0 - 1,2,12.12b,Lee Sin,Wukong,Taliyah,Gnar,Kalista,Seraphine,Yuumi,"Jinx, Viego","Ahri, Zeri",Lissandra,Olaf,Pyke,Xin Zhao,Rakan,Nautilus,"Jarvan IV, Rumble",Gwen,Support,Mid,Bot,Jungle,Top,Bot,Jungle,Mid,Support,Top
